NEW_SALEDATE,NEW_YEAR,MONTH,MAKE,MODEL,MAX_SELLING_PRICE,MIN_SELLING_PRICE,AVG_SELLING_PRICE,AVG_MILEAGE,MAX_MILEAGE,MIN_MILEAGE,TOTAL_SALES,TOTAL_REVENUE,PRICE_BUCKET,MILEAGE_CATEGORY
2015-01-13T11:00:00Z,2015,Jan,dodge,ram3500,20100,10500,15300.000000,217887.000000,271634,164140,2,30600,BUDGET,High Mileage
2015-01-14T04:30:00Z,2015,Jan,audi,tt,7900,4900,6400.000000,93288.000000,101446,85130,2,12800,BUDGET,High Mileage
2015-01-13T10:00:00Z,2015,Jan,chevrolet,sonic,10100,9600,9850.000000,49341.000000,62191,36491,2,19700,BUDGET,High Mileage
2014-12-18T12:30:00Z,2014,Dec,mercedes,g500,24000,24000,24000.000000,125722.000000,125722,125722,1,24000,BUDGET,High Mileage
2014-12-30T12:30:00Z,2014,Dec,subaru,legacy,1100,800,950.000000,175152.000000,210549,139755,2,1900,BUDGET,High Mileage
2014-12-30T10:00:00Z,2014,Dec,chevrolet,corsica,400,300,350.000000,191943.000000,214947,168939,2,700,BUDGET,High Mileage
2015-01-13T12:00:00Z,2015,Jan,dodge,gr,25600,19200,20996.774194,25316.806452,40925,11768,31,650900,BUDGET,Medium Mileage
2015-01-06T02:00:00Z,2015,Jan,kia,rio,5000,4500,4666.666667,72586.666667,113138,46660,3,14000,BUDGET,High Mileage
2015-01-14T03:30:00Z,2015,Jan,chevrolet,g3500,16700,2900,9451.923077,89036.884615,191658,22513,26,245750,BUDGET,High Mileage
2015-05-05T03:00:00Z,2015,May,Cadillac,Fleetwood,350,350,350.000000,1.000000,1,1,1,350,BUDGET,Low Mileage
2015-05-29T04:00:00Z,2015,May,Geo,Metro,400,400,400.000000,190301.000000,190301,190301,1,400,BUDGET,High Mileage
2014-12-18T12:00:00Z,2014,Dec,ford,focus,1050,650,900.000000,164225.800000,185978,108338,5,4500,BUDGET,High Mileage
2015-01-07T09:30:00Z,2015,Jan,pontiac,vibe,9000,5400,7266.666667,74751.333333,116014,41257,3,21800,BUDGET,High Mileage
2014-12-30T13:00:00Z,2014,Dec,maserati,quattroporte,32200,23500,28400.000000,30385.000000,37293,26011,3,85200,BUDGET,Medium Mileage
2015-01-07T10:30:00Z,2015,Jan,dodge,intrepid,1900,400,1100.000000,111108.500000,127697,83330,4,4400,BUDGET,High Mileage
2014-12-18T10:00:00Z,2014,Dec,chevrolet,lumina,600,600,600.000000,112358.000000,112358,112358,1,600,BUDGET,High Mileage
2014-12-23T13:00:00Z,2014,Dec,toyota,pickup,1100,800,950.000000,129711.000000,131187,128235,2,1900,BUDGET,High Mileage
2015-01-12T09:00:00Z,2015,Jan,buick,rainier,6800,1300,4660.000000,119860.200000,186680,91678,5,23300,BUDGET,High Mileage
2014-12-17T12:00:00Z,2014,Dec,ford,bronco,1100,1100,1100.000000,257692.000000,257692,257692,1,1100,BUDGET,High Mileage
